Local;Número;Título;Fase;Tier;Change Manager;Iniciador;Representante da qualidade;Prod Impact;Reg. Impact;Change Driver;Created;Approval;Planned Completion;Planned Verification;Planned Regulatory Closure Date;Closed;Change Mgr Dept;Site Review Council;Is there artwork impact?;Actual Regulatory Approval Date;Quality Verification Completion Date;Regulatory Rep
Cruzeiro;CR063038;;Cancelled;Tier 1;;Gustavo Ferraz Santos;;;;;jul 17, 2025;;;;;;;;;;;
Cruzeiro;CR063035;Atualização de procedimentos relacionados a amostragem e análise de materiais de embalagem;Quality Confirmation;Tier 1;;Gustavo Ferraz Santos;Anderson da Silva;;;;jul 17, 2025;;set 30, 2025;out 15, 2025;;;;;;;;
Cruzeiro;CR063002;Atualização das artes e especificações do produto Ultra Saber USA;Initiate;Tier 1;;Vilmar Alves;Anderson da Silva;;;;jul 16, 2025;;nov 28, 2025;dez 13, 2025;;;Packaging;;;;;
Cruzeiro;CR062841;Atualização da especificação de aspecto do produto Boss Pour On;Initiate;;Juliana Silva;Juliana Silva;Anderson da Silva;No;No;Business/process improvement or change;jul 10, 2025;;;;;;GTO-PTS;;;;;Jessica Isaac
Cruzeiro;CR062778;Remoção e descarte de gerador de energia (GERA002C);Implementation;Tier 1;;Leonardo Guedes;Anderson da Silva;;;;jul 8, 2025;jul 18, 2025;set 26, 2025;out 11, 2025;;;Maintenance;;;;;
Cruzeiro;CR062708;Padronização de ferramentas manuais para atividade de corte.;Stakeholder Approval;Tier 1;;Mateus Percídio Silva Alves;Anderson da Silva;;;;jul 4, 2025;;out 29, 2025;nov 13, 2025;;;SHE;;;;;
Cruzeiro;CR062614;Reembalagem 611187 Bovguard 5L lote 037/25 / Repackaging 611187 Bovguard 5L batch 037/25.;Define Effectiveness Check;Tier 2;Eduardo Barros;Eduardo Barros;Anderson da Silva;No;No;Quality/Compliance;jul 1, 2025;jul 3, 2025;jul 18, 2025;ago 2, 2025;;;Manufacturing;Izabel Barcza;;;;Thiago Cunha
Cruzeiro;CR062578;Mudança no Recebimento, Armazenamento e Transferência de Óleo de Algodão e Óleo Mineral (Calpar) - Ectos.;Initiate;Tier 2;Alison Marcelo dos Santos Oliveira;Alison Marcelo dos Santos Oliveira;Anderson da Silva;No;No;Business/process improvement or change;jun 30, 2025;;nov 30, 2025;dez 15, 2025;;;Maintenance;Izabel Barcza;;;;Thiago Cunha
Cruzeiro;CR062506;Atualização das artes do produto Butox P CE 25 Nacional com a aprovação do SIPEAGRO;Stakeholder Approval;Tier 1;;Vilmar Alves;Anderson da Silva;;;;jun 26, 2025;;dez 18, 2025;jan 2, 2026;;;Packaging;;;;;
Cruzeiro;CR062410;Eliminação da drenagem de produto no setor ectos devido a instalação de um micro-pneumático;Initiate;Tier 1;Sarah Lana;Sarah Lana;Anderson da Silva;No;;;jun 23, 2025;;;;;;;;;;;Thiago Cunha
